7,862,3
13,862,5
15,862,2
19,862,3
23,862,3
26,862,5
47,862,5
55,862,3
63,862,5
67,862,3
69,862,5
70,862,5
73,862,5
75,862,3
79,862,2
86,862,3
87,862,3
89,862,5
91,862,5
92,862,5
112,862,5
119,862,2
122,862,3
126,862,5
128,862,5
130,862,3
138,862,2
146,862,5
149,862,3
150,862,3
153,862,5
163,862,3
168,862,5
176,862,2
177,862,5
179,862,5
184,862,5
185,862,5
200,862,3
201,862,5
212,862,3
213,862,3
215,862,3
219,862,5
220,862,2
232,862,3
237,862,3
241,862,3
242,862,5
252,862,3
268,862,5
275,862,5
283,862,3
284,862,3
287,862,5
306,862,3
311,862,3
312,862,5
314,862,2
321,862,3
329,862,5
334,862,5
336,862,2
343,862,5
354,862,5
355,862,3
357,862,5
358,862,5
361,862,3
363,862,5
383,862,5
396,862,5
401,862,5
402,862,2
408,862,2
409,862,5
410,862,5
421,862,2
422,862,5
426,862,3
428,862,5
432,862,5
447,862,3
448,862,3
459,862,5
463,862,3
466,862,5
472,862,5
480,862,5
484,862,3
486,862,5
491,862,5
500,862,2
501,862,5
507,862,3
509,862,3
518,862,5
520,862,3
525,862,2
530,862,5
531,862,3
534,862,5
537,862,5
538,862,5
543,862,5
561,862,3
568,862,3
575,862,3
577,862,5
584,862,5
595,862,5
597,862,5
624,862,5
636,862,3
646,862,5
654,862,5
671,862,5
15,8844,2
19,8844,3
30,8844,2
47,8844,5
49,8844,5
68,8844,3
80,8844,2
85,8844,5
92,8844,3
99,8844,2
113,8844,5
115,8844,5
119,8844,3
124,8844,3
126,8844,3
150,8844,3
165,8844,3
176,8844,3
177,8844,5
182,8844,5
187,8844,3
212,8844,3
213,8844,3
241,8844,3
262,8844,2
279,8844,3
285,8844,3
287,8844,5
298,8844,5
312,8844,2
313,8844,3
338,8844,3
346,8844,2
353,8844,2
355,8844,3
369,8844,3
382,8844,3
396,8844,3
418,8844,2
426,8844,3
428,8844,3
447,8844,3
466,8844,3
468,8844,2
471,8844,3
473,8844,5
480,8844,5
506,8844,3
517,8844,5
525,8844,2
535,8844,3
537,8844,3
548,8844,3
561,8844,3
590,8844,3
593,8844,3
595,8844,2
607,8844,3
624,8844,3
654,8844,3
662,8844,5
665,8844,3
19,15602,3
25,15602,3
44,15602,5
70,15602,5
75,15602,3
85,15602,2
112,15602,5
115,15602,5
128,15602,2
162,15602,2
233,15602,3
256,15602,3
284,15602,3
285,15602,3
329,15602,3
390,15602,5
496,15602,3
505,15602,3
507,15602,2
509,15602,2
516,15602,3
534,15602,2
543,15602,5
559,15602,3
564,15602,3
603,15602,2
605,15602,2
614,15602,2
616,15602,3
624,15602,3
641,15602,3
646,15602,5
650,15602,3
665,15602,3
19,31357,3
113,31357,3
128,31357,3
168,31357,3
182,31357,3
239,31357,3
391,31357,2
649,31357,3
18,11862,3
44,11862,3
55,11862,3
69,11862,5
70,11862,5
85,11862,3
98,11862,3
111,11862,3
113,11862,5
154,11862,3
239,11862,3
241,11862,2
256,11862,3
306,11862,2
318,11862,3
329,11862,3
